 0_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
        38           54             10       -1979.328979    -0.168170
        38           55             10       -1979.329346    -0.168170
        38           56             10       -1979.329834    -0.168170
        38           57             10       -1979.330322    -0.168170
        38           58             10       -1979.330811    -0.168170
        38           59             10       -1979.331299    -0.168170
        38           60             10       -1979.331909    -0.168170
        38           61             10       -1979.332520    -0.168170
        38           62             10       -1979.333130    -0.168170
        38           63             10       -1979.333618    -0.168170
        38           64             10       -1979.334351    -0.168170
        38           65             10       -1979.334961    -0.168170
        38           66             10       -1979.335815    -0.168170
        38           67             10       -1979.336426    -0.168170
        38           68             10       -1979.337280    -0.168170
        38           69             10       -1979.338257    -0.168170
        38           70             10       -1979.339111    -0.168170
        38           71             10       -1979.340088    -0.168170
        38           72             10       -1979.341187    -0.168170
        38           73             10       -1979.342407    -0.168170
        38           74             10       -1979.343750    -0.168170
        38           75             10       -1979.345459    -0.168170
        38           76             10       -1979.347046    -0.168170
        38           77             10       -1979.348999    -0.168170
        38           78             10       -1979.351318    -0.168170
        38           79             10       -1979.353760    -0.168170
        38           80             10       -1979.356689    -0.168170
        38           81             10       -1979.360107    -0.168170
        38           82             10       -1979.364502    -0.168170
        38           83             10       -1979.369873    -0.168170
        38           84             10       -1979.378418    -0.168170
        38           85             10       -1979.394287    -0.168170
        38           86             10       -1979.434570    -0.168170
        39            0              9       -1979.376953    -1.730839
        40            0              3       -1979.337891    -1.944153
        40            1              3       -1979.346436    -1.944153
        40            2              3       -1979.354858    -1.944153
        41            0              6       -1979.317627    -2.614471
        41            1              6       -1979.327637    -2.614471
        41            2              6       -1979.336304    -2.614471
        41            3              6       -1979.342041    -2.614471
        41            4              6       -1979.345337    -2.614471
        42            0              4       -1979.326904    -1.732688
        42            1              4       -1979.328613    -1.732688
        42            2              4       -1979.330688    -1.732688
        42            3              4       -1979.332397    -1.732688
        42            4              4       -1979.333496    -1.732688
        42            5              4       -1979.334229    -1.732688
        42            6              4       -1979.334717    -1.732688
        42            7              4       -1979.335327    -1.732688
        43            0              5       -1979.330322    -1.205897
        43            1              5       -1979.331055    -1.205897
        43            2              5       -1979.331665    -1.205897
        43            3              5       -1979.331909    -1.205897
        43            4              5       -1979.332275    -1.205897
        43            5              5       -1979.332520    -1.205897
        43            6              5       -1979.332886    -1.205897
        43            7              5       -1979.333008    -1.205897
        43            8              5       -1979.333130    -1.205897
        43            9              5       -1979.333252    -1.205897
        43           10              5       -1979.333252    -1.205897
        43           11              5       -1979.333496    -1.205897
        43           12              5       -1979.333496    -1.205897
        43           13              5       -1979.333618    -1.205897
        43           14              5       -1979.333740    -1.205897
        43           15              5       -1979.333984    -1.205897
        43           16              5       -1979.333862    -1.205897
        43           17              5       -1979.333740    -1.205897
        43           18              5       -1979.334106    -1.205897
        43           19              5       -1979.333984    -1.205897
        43           20              5       -1979.333984    -1.205897
        43           21              5       -1979.334106    -1.205897
        43           22              5       -1979.334106    -1.205897
        43           23              5       -1979.334229    -1.205897
        43           24              5       -1979.334229    -1.205897
        43           25              5       -1979.334229    -1.205897
        43           26              5       -1979.334229    -1.205897
        43           27              5       -1979.334229    -1.205897
        43           28              5       -1979.334229    -1.205897
        43           29              5       -1979.334351    -1.205897
        43           30              5       -1979.334229    -1.205897
        43           31              5       -1979.334229    -1.205897
        43           32              5       -1979.334351    -1.205897
        43           33              5       -1979.334351    -1.205897
        43           34              5       -1979.334473    -1.205897
        43           35              5       -1979.334473    -1.205897
        43           36              5       -1979.334473    -1.205897
        44            0              5       -1979.334351    -0.873710
        44            1              5       -1979.334229    -0.873710
        44            2              5       -1979.334473    -0.873710
        44            3              5       -1979.334473    -0.873710
        44            4              5       -1979.334351    -0.873710
        44            5              5       -1979.334473    -0.873710
        44            6              5       -1979.334351    -0.873710
        44            7              5       -1979.334473    -0.873710
        44            8              5       -1979.334473    -0.873710
        44            9              5       -1979.334473    -0.873710
        44           10              5       -1979.334473    -0.873710
        44           11              5       -1979.334473    -0.873710
        44           12              5       -1979.334473    -0.873710
        44           13              5       -1979.334473    -0.873710
        44           14              5       -1979.334473    -0.873710
        44           15              5       -1979.334473    -0.873710
        44           16              5       -1979.334473    -0.873710
        44           17              5       -1979.334473    -0.873710
        44           18              5       -1979.334351    -0.873710
        44           19              5       -1979.334473    -0.873710
        44           20              5       -1979.334473    -0.873710
        44           21              5       -1979.334473    -0.873710
        44           22              5       -1979.334473    -0.873710
        44           23              5       -1979.334473    -0.873710
        44           24              5       -1979.334351    -0.873710
        44           25              5       -1979.334473    -0.873710
        44           26              5       -1979.334473    -0.873710
        44           27              5       -1979.334473    -0.873710
        44           28              5       -1979.334351    -0.873710
        44           29              5       -1979.334473    -0.873710
        44           30              5       -1979.334473    -0.873710
        44           31              5       -1979.334473    -0.873710
        44           32              5       -1979.334473    -0.873710
        44           33              5       -1979.334473    -0.873710
        44           34              5       -1979.334473    -0.873710
        44           35              5       -1979.334473    -0.873710
        44           36              5       -1979.334351    -0.873710
        44           37              5       -1979.334473    -0.873710
        44           38              5       -1979.334473    -0.873710
        44           39              5       -1979.334351    -0.873710
        44           40              5       -1979.334229    -0.873710
        44           41              5       -1979.334351    -0.873710
        44           42              5       -1979.334473    -0.873710
        44           43              5       -1979.334351    -0.873710
        44           44              5       -1979.334351    -0.873710
        44           45              5       -1979.334351    -0.873710
        44           46              5       -1979.334473    -0.873710
        44           47              5       -1979.334351    -0.873710
        44           48              5       -1979.334473    -0.873710
        44           49              5       -1979.334351    -0.873710
        44           50              5       -1979.334473    -0.873710
        44           51              5       -1979.334351    -0.873710
        44           52              5       -1979.334351    -0.873710
        44           53              5       -1979.334473    -0.873710
        44           54              5       -1979.334473    -0.873710
        45            0              4       -1979.334473   -14.806442
        45            1              4       -1979.337158   -14.806442
        45            2              4       -1979.338257   -14.806442
        45            3              4       -1979.338867   -14.806442
        45            4              4       -1979.339355   -14.806442
        45            5              4       -1979.339844   -14.806442
        45            6              4       -1979.340088   -14.806442
        45            7              4       -1979.340332   -14.806442
        45            8              4       -1979.340454   -14.806442
        45            9              4       -1979.340820   -14.806442
        45           10              4       -1979.341064   -14.806442
        45           11              4       -1979.341064   -14.806442
        45           12              4       -1979.341064   -14.806442
        45           13              4       -1979.341309   -14.806442
        45           14              4       -1979.341431   -14.806442
        45           15              4       -1979.341553   -14.806442
        45           16              4       -1979.341553   -14.806442
        45           17              4       -1979.341675   -14.806442
        45           18              4       -1979.341797   -14.806442
        45           19              4       -1979.341797   -14.806442
        45           20              4       -1979.341797   -14.806442
        45           21              4       -1979.341919   -14.806442
        45           22              4       -1979.341919   -14.806442
        45           23              4       -1979.342041   -14.806442
        45           24              4       -1979.342041   -14.806442
        45           25              4       -1979.342163   -14.806442
        45           26              4       -1979.342163   -14.806442
        45           27              4       -1979.342285   -14.806442
        45           28              4       -1979.342285   -14.806442
        45           29              4       -1979.342285   -14.806442
        45           30              4       -1979.342529   -14.806442
        45           31              4       -1979.342407   -14.806442
        45           32              4       -1979.342529   -14.806442
        45           33              4       -1979.342529   -14.806442
        45           34              4       -1979.342529   -14.806442
        45           35              4       -1979.342651   -14.806442
        45           36              4       -1979.342651   -14.806442
        45           37              4       -1979.342651   -14.806442
        45           38              4       -1979.342651   -14.806442
        45           39              4       -1979.342773   -14.806442
        45           40              4       -1979.342773   -14.806442
        45           41              4       -1979.343018   -14.806442
        45           42              4       -1979.343018   -14.806442
        45           43              4       -1979.343018   -14.806442
        45           44              4       -1979.343018   -14.806442
        45           45              4       -1979.343018   -14.806442
        45           46              4       -1979.342896   -14.806442
        45           47              4       -1979.343018   -14.806442
        45           48              4       -1979.343018   -14.806442
        45           49              4       -1979.343018   -14.806442
        45           50              4       -1979.343018   -14.806442
        45           51              4       -1979.343140   -14.806442
        45           52              4       -1979.343018   -14.806442
        45           53              4       -1979.343018   -14.806442
        45           54              4       -1979.343018   -14.806442
        45           55              4       -1979.343018   -14.806442
        45           56              4       -1979.343140   -14.806442
        45           57              4       -1979.343140   -14.806442
        45           58              4       -1979.343018   -14.806442
        45           59              4       -1979.343262   -14.806442
        45           60              4       -1979.343018   -14.806442
        45           61              4       -1979.343262   -14.806442
        45           62              4       -1979.343140   -14.806442
        45           63              4       -1979.343262   -14.806442
        45           64              4       -1979.343262   -14.806442
        45           65              4       -1979.343262   -14.806442
        45           66              4       -1979.343262   -14.806442
        45           67              4       -1979.343262   -14.806442
        45           68              4       -1979.343262   -14.806442
        45           69              4       -1979.343262   -14.806442
        45           70              4       -1979.343262   -14.806442
-----------------------------------------------------------------------
 State of the saddle   Barrier energy   Reaction energy   Elapsed time
-----------------------------------------------------------------------
           Connected         0.073853         -0.352661      84.093797
-----------------------------------------------------------------------
 1_1
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
-----------------------------------------------------------------------
         0            0              0       -1979.417114   ----------
         1            0             25       -1979.385132     0.471318
         1            1             25       -1979.394775     0.471318
         2            0              4       -1979.318970     0.478630
         2            1              4       -1979.321533     0.478630
         3            0              8       -1979.182495     0.319559
         3            1              8       -1979.196045     0.319559
         4            0              6       -1979.005615     0.329087
         4            1              6       -1979.015381     0.329087
         5            0             10       -1979.015381    -0.169918
         5            1             10       -1979.117920    -0.169918
         6            0             10       -1979.116821    -0.500972
         7            0             10       -1979.113159    -0.243836
         8            0             12       -1978.925415     0.360015
         8            1             12       -1978.969727     0.360015
         9            0              6       -1978.724487     0.364717
         9            1              6       -1978.760498     0.364717
        10            0              3       -1978.465820     0.361914
        10            1              3       -1978.510986     0.361914
        11            0             14       -1978.504883    -0.189803
        12            0             15       -1978.174805     0.368577
        12            1             15       -1978.206787     0.368577
        13            0              7       -1977.812744     0.461609
        13            1              7       -1977.863892     0.461609
        14            0             21       -1977.749512    -1.232275
        14            1             21       -1977.986938    -1.232275
        15            0              4       -1977.911865    -4.197523
        15            1              4       -1978.098389    -4.197523
        16            0              4       -1978.052490    -2.954957
        16            1              4       -1978.200073    -2.954957
        17            0              5       -1978.176025    -1.848025
        17            1              5       -1978.367432    -1.848025
        17            2              5       -1978.514526    -1.848025
        17            3              5       -1978.626953    -1.848025
        17            4              5       -1978.706543    -1.848025
        17            5              5       -1978.734619    -1.848025
        17            6              5       -1978.794434    -1.848025
        17            7              5       -1978.810059    -1.848025
        17            8              5       -1978.849731    -1.848025
        17            9              5       -1978.864990    -1.848025
        17           10              5       -1978.889282    -1.848025
        17           11              5       -1978.901978    -1.848025
        17           12              5       -1978.911377    -1.848025
        17           13              5       -1978.915894    -1.848025
        18            0              5       -1978.900879    -1.218297
        18            1              5       -1978.902222    -1.218297
        18            2              5       -1978.904053    -1.218297
        18            3              5       -1978.905518    -1.218297
        18            4              5       -1978.906494    -1.218297
        18            5              5       -1978.907471    -1.218297
        18            6              5       -1978.908081    -1.218297
        18            7              5       -1978.908813    -1.218297
        18            8              5       -1978.909424    -1.218297
        18            9              5       -1978.909790    -1.218297
        18           10              5       -1978.910156    -1.218297
        18           11              5       -1978.910645    -1.218297
        18           12              5       -1978.911133    -1.218297
        18           13              5       -1978.911377    -1.218297
        18           14              5       -1978.911621    -1.218297
        18           15              5       -1978.911987    -1.218297
        18           16              5       -1978.912109    -1.218297
        18           17              5       -1978.912476    -1.218297
        18           18              5       -1978.912598    -1.218297
        18           19              5       -1978.912842    -1.218297
        18           20              5       -1978.913086    -1.218297
        18           21              5       -1978.913208    -1.218297
        19            0              5       -1978.910156    -0.980780
        19            1              5       -1978.911621    -0.980780
        19            2              5       -1978.912476    -0.980780
        19            3              5       -1978.912598    -0.980780
        19            4              5       -1978.912720    -0.980780
        19            5              5       -1978.912842    -0.980780
        19            6              5       -1978.912842    -0.980780
        19            7              5       -1978.913086    -0.980780
        19            8              5       -1978.913086    -0.980780
        19            9              5       -1978.913086    -0.980780
        19           10              5       -1978.913086    -0.980780
        19           11              5       -1978.913208    -0.980780
        19           12              5       -1978.913208    -0.980780
        19           13              5       -1978.913208    -0.980780
        19           14              5       -1978.913330    -0.980780
        19           15              5       -1978.913452    -0.980780
        19           16              5       -1978.913574    -0.980780
        19           17              5       -1978.913574    -0.980780
        19           18              5       -1978.913574    -0.980780
        19           19              5       -1978.913696    -0.980780
        19           20              5       -1978.913574    -0.980780
