 4_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
         5            1              8       -1978.613857     0.610201
         6            0              7       -1978.203057     0.820425
         6            1              7       -1978.315987     0.820425
         7            0             11       -1977.810956     0.305468
         7            1             11       -1977.876544     0.305468
         8            0              8       -1977.291802     0.549170
         8            1              8       -1977.305207     0.549170
         9            0             10       -1977.278410    -0.401755
        10            0              7       -1977.225568    -1.104580
        11            0              4       -1977.171414    -1.753530
        12            0              3       -1977.125154    -1.811701
        12            1              3       -1977.738785    -1.811701
        12            2              3       -1978.195016    -1.811701
        12            3              3       -1978.529844    -1.811701
        12            4              3       -1978.768179    -1.811701
        12            5              3       -1978.931564    -1.811701
        12            6              3       -1979.040010    -1.811701
        12            7              3       -1979.107778    -1.811701
        12            8              3       -1979.143000    -1.811701
        13            0              5       -1979.102918    -1.113639
        14            0              4       -1979.075163    -1.016295
        14            1              4       -1979.083640    -1.016295
        14            2              4       -1979.092446    -1.016295
        14            3              4       -1979.097570    -1.016295
        14            4              4       -1979.100359    -1.016295
        15            0              5       -1979.084513    -1.041215
        15            1              5       -1979.085875    -1.041215
        15            2              5       -1979.087545    -1.041215
        15            3              5       -1979.088975    -1.041215
        15            4              5       -1979.089919    -1.041215
        15            5              5       -1979.090705    -1.041215
        15            6              5       -1979.091279    -1.041215
        15            7              5       -1979.091782    -1.041215
        15            8              5       -1979.092180    -1.041215
        15            9              5       -1979.092538    -1.041215
        16            0              5       -1979.089548    -1.185150
        16            1              5       -1979.090340    -1.185150
        16            2              5       -1979.091020    -1.185150
        16            3              5       -1979.091370    -1.185150
        16            4              5       -1979.091663    -1.185150
        16            5              5       -1979.091877    -1.185150
        16            6              5       -1979.092073    -1.185150
        16            7              5       -1979.092233    -1.185150
        16            8              5       -1979.092382    -1.185150
        16            9              5       -1979.092507    -1.185150
        16           10              5       -1979.092623    -1.185150
        16           11              5       -1979.092723    -1.185150
        16           12              5       -1979.092815    -1.185150
        16           13              5       -1979.092895    -1.185150
        16           14              5       -1979.092969    -1.185150
        16           15              5       -1979.093034    -1.185150
        16           16              5       -1979.093094    -1.185150
        16           17              5       -1979.093147    -1.185150
        16           18              5       -1979.093196    -1.185150
        16           19              5       -1979.093239    -1.185150
        16           20              5       -1979.093279    -1.185150
        16           21              5       -1979.093314    -1.185150
        16           22              5       -1979.093347    -1.185150
        16           23              5       -1979.093377    -1.185150
        16           24              5       -1979.093403    -1.185150
        16           25              5       -1979.093428    -1.185150
        16           26              5       -1979.093450    -1.185150
        16           27              5       -1979.093470    -1.185150
        16           28              5       -1979.093488    -1.185150
        17            0              4       -1979.093389    -1.404454
        17            1              4       -1979.093405    -1.404454
        17            2              4       -1979.093418    -1.404454
        17            3              4       -1979.093430    -1.404454
        17            4              4       -1979.093440    -1.404454
        17            5              4       -1979.093448    -1.404454
        17            6              4       -1979.093455    -1.404454
        17            7              4       -1979.093460    -1.404454
        17            8              4       -1979.093464    -1.404454
        17            9              4       -1979.093467    -1.404454
        17           10              4       -1979.093469    -1.404454
        17           11              4       -1979.093471    -1.404454
        17           12              4       -1979.093473    -1.404454
        17           13              4       -1979.093475    -1.404454
        17           14              4       -1979.093476    -1.404454
        17           15              4       -1979.093477    -1.404454
        17           16              4       -1979.093479    -1.404454
        17           17              4       -1979.093480    -1.404454
        17           18              4       -1979.093481    -1.404454
        17           19              4       -1979.093482    -1.404454
        17           20              4       -1979.093482    -1.404454
        17           21              4       -1979.093483    -1.404454
        17           22              4       -1979.093483    -1.404454
        17           23              4       -1979.093484    -1.404454
        17           24              4       -1979.093484    -1.404454
        17           25              4       -1979.093484    -1.404454
        17           26              4       -1979.093484    -1.404454
        17           27              4       -1979.093484    -1.404454
        17           28              4       -1979.093484    -1.404454
        17           29              4       -1979.093485    -1.404454
        17           30              4       -1979.093485    -1.404454
        17           31              4       -1979.093485    -1.404454
        17           32              4       -1979.093485    -1.404454
        17           33              4       -1979.093485    -1.404454
        17           34              4       -1979.093485    -1.404454
        18            0              4       -1979.093480   -23.155570
        18            1              4       -1979.101490   -23.155570
        18            2              4       -1979.105054   -23.155570
        18            3              4       -1979.106779   -23.155570
        18            4              4       -1979.107777   -23.155570
        18            5              4       -1979.108443   -23.155570
        18            6              4       -1979.108895   -23.155570
        18            7              4       -1979.109235   -23.155570
        18            8              4       -1979.109490   -23.155570
        18            9              4       -1979.109691   -23.155570
        18           10              4       -1979.109847   -23.155570
        18           11              4       -1979.109973   -23.155570
        18           12              4       -1979.110075   -23.155570
        18           13              4       -1979.110164   -23.155570
        18           14              4       -1979.110238   -23.155570
        18           15              4       -1979.110305   -23.155570
        18           16              4       -1979.110363   -23.155570
        18           17              4       -1979.110416   -23.155570
        19            0              7       -1979.109824    -1.266947
        19            1              7       -1979.109859    -1.266947
        19            2              7       -1979.109887    -1.266947
